LOCAL,LATITUDE,LONGITUDE,MUNICIPIO,UF,lat+long,00_ANNUAL,01_JAN,02_FEB,03_MAR,04_APR,05_MAY,06_JUN,07_JUL,08_AUG,09_SEP,10_OCT,11_NOV,12_DEZ
ABADIA DE GOIAS-GO,"-16,75","-49,43",ABADIA DE GOIAS,GO,"-16,8 -49,5",5453,5048,5349,5305,5587,5591,5476,5583,6308,5761,5407,5009,5005
ABADIA DOS DOURADOS-MG,"-18,48","-47,4",ABADIA DOS DOURADOS,MG,"-18,5 -47,4",5576,5201,5768,5294,5635,5565,5426,5725,6462,5947,5594,5073,5221
ABADIANIA-GO,"-16,2","-48,7",ABADIANIA,GO,"-16,2 -48,7",5432,4953,5309,5129,5515,5597,5509,5804,6498,5772,5397,4758,4949
ABAETE-MG,"-19,16","-45,44",ABAETE,MG,"-19,2 -45,5",5608,5477,5925,5422,5688,5505,5406,5671,6349,6058,5610,4983,5197
ABAETETUBA-PA,"-1,71","-48,88",ABAETETUBA,PA,"-1,8 -48,9",4897,4504,4410,4531,4566,4795,5010,5144,5395,5416,5255,5041,4700
ABAIARA-CE,"-7,35","-39,04",ABAIARA,CE,"-7,4 -39,1",5934,5703,5802,5922,5859,5505,5310,5603,6217,6631,6423,6330,5905
ABAIRA-BA,"-13,25","-41,66",ABAIRA,BA,"-13,3 -41,7",5322,5555,5809,5595,4991,4694,4496,4702,5343,5930,5765,5293,5694
ABARE-BA,"-8,72","-39,11",ABARE,BA,"-8,8 -39,2",5824,6102,6014,6269,5818,5169,4806,4971,5638,6254,6313,6349,6193
ABATIA-PR,"-23,3","-50,31",ABATIA,PR,"-23,3 -50,4",5193,5280,5599,5474,5338,4646,4437,4611,5513,5103,5279,5449,5587
ABDON BATISTA-SC,"-27,61","-51,02",ABDON BATISTA,SC,"-27,7 -51,1",4668,5334,5294,5171,4718,3831,3493,3814,4577,4260,4716,5433,5381
ABEL FIGUEIREDO-PA,"-4,95","-48,39",ABEL FIGUEIREDO,PA,"-5 -48,4",4872,4314,4481,4650,4728,4792,5225,5328,5657,5352,4882,4619,4438
ABELARDO LUZ-SC,"-26,56","-52,32",ABELARDO LUZ,SC,"-26,6 -52,4",4862,5378,5334,5323,4921,4194,3757,4065,4932,4547,5003,5471,5415
ABRE CAMPO-MG,"-20,3","-42,47",ABRE CAMPO,MG,"-20,3 -42,5",5092,5339,5809,5274,5173,4732,4633,4727,5360,5237,5040,4632,5145
ABREU E LIMA-PE,"-7,91","-34,9",ABREU E LIMA,PE,"-8 -34,9",5391,5519,5779,5895,5369,4775,4511,4602,5312,5570,5771,5862,5732
ABREULANDIA-TO,"-9,62","-49,15",ABREULANDIA,TO,"-9,7 -49,2",5200,4657,4786,4750,4942,5342,5567,5820,6337,5694,5051,4819,4640
ACAIACA-MG,"-20,36","-43,14",ACAIACA,MG,"-20,4 -43,2",4922,5086,5574,5063,4972,4529,4525,4673,5393,5198,4835,4386,4835
